year,country,arrivals_millions
1980,Austria,9.1
1981,Austria,9.34
1982,Austria,9.58
1983,Austria,9.82
1984,Austria,10.06
1985,Austria,10.3
1986,Austria,10.56
1987,Austria,10.82
1988,Austria,11.08
1989,Austria,11.34
1990,Austria,11.6
1991,Austria,11.9
1992,Austria,12.2
1993,Austria,12.5
1994,Austria,12.799999999999999
1995,Austria,13.1
1996,Austria,13.44
1997,Austria,13.78
1998,Austria,14.120000000000001
1999,Austria,14.46
2000,Austria,14.8
2001,Austria,15.200000000000001
2002,Austria,15.600000000000001
2003,Austria,16.0
2004,Austria,16.400000000000002
2005,Austria,16.8
2006,Austria,17.22
2007,Austria,17.64
2008,Austria,18.06
2009,Austria,18.48
2010,Austria,18.9
2011,Austria,19.4
2012,Austria,19.9
2013,Austria,20.4
2014,Austria,20.9
2015,Austria,21.4
2016,Austria,19.18
2017,Austria,16.96
2018,Austria,14.739999999999998
2019,Austria,12.52
2020,Austria,10.3
2021,Austria,11.020000000000001
2022,Austria,11.74
2023,Austria,12.46
2024,Austria,13.18
2025,Austria,13.9
1980,Canada,14.0
1981,Canada,14.28
1982,Canada,14.56
1983,Canada,14.84
1984,Canada,15.120000000000001
1985,Canada,15.4
1986,Canada,15.7
1987,Canada,16.0
1988,Canada,16.3
1989,Canada,16.599999999999998
1990,Canada,16.9
1991,Canada,17.24
1992,Canada,17.58
1993,Canada,17.92
1994,Canada,18.26
1995,Canada,18.6
1996,Canada,18.98
1997,Canada,19.36
1998,Canada,19.740000000000002
1999,Canada,20.12
2000,Canada,20.5
2001,Canada,20.9
2002,Canada,21.3
2003,Canada,21.7
2004,Canada,22.1
2005,Canada,22.5
2006,Canada,22.96
2007,Canada,23.42
2008,Canada,23.88
2009,Canada,24.34
2010,Canada,24.8
2011,Canada,25.3
2012,Canada,25.8
2013,Canada,26.3
2014,Canada,26.8
2015,Canada,27.3
2016,Canada,24.46
2017,Canada,21.62
2018,Canada,18.78
2019,Canada,15.94
2020,Canada,13.1
2021,Canada,14.02
2022,Canada,14.94
2023,Canada,15.86
2024,Canada,16.78
2025,Canada,17.7
1980,China,10.4
1981,China,10.98
1982,China,11.56
1983,China,12.14
1984,China,12.72
1985,China,13.3
1986,China,14.040000000000001
1987,China,14.780000000000001
1988,China,15.52
1989,China,16.26
1990,China,17.0
1991,China,17.96
1992,China,18.92
1993,China,19.880000000000003
1994,China,20.84
1995,China,21.8
1996,China,23.02
1997,China,24.24
1998,China,25.46
1999,China,26.68
2000,China,27.9
2001,China,29.46
2002,China,31.02
2003,China,32.58
2004,China,34.14
2005,China,35.7
2006,China,37.7
2007,China,39.7
2008,China,41.7
2009,China,43.7
2010,China,45.7
2011,China,48.260000000000005
2012,China,50.82
2013,China,53.38
2014,China,55.94
2015,China,58.5
2016,China,52.42
2017,China,46.34
2018,China,40.26
2019,China,34.18
2020,China,28.1
2021,China,30.060000000000002
2022,China,32.02
2023,China,33.980000000000004
2024,China,35.94
2025,China,37.9
1980,France,30.1
1981,France,31.0
1982,France,31.900000000000002
1983,France,32.800000000000004
1984,France,33.7
1985,France,34.6
1986,France,35.64
1987,France,36.68
1988,France,37.72
1989,France,38.76
1990,France,39.8
1991,France,41.0
1992,France,42.199999999999996
1993,France,43.4
1994,France,44.599999999999994
1995,France,45.8
1996,France,47.16
1997,France,48.519999999999996
1998,France,49.879999999999995
1999,France,51.24
2000,France,52.6
2001,France,54.18
2002,France,55.76
2003,France,57.34
2004,France,58.92
2005,France,60.5
2006,France,62.32
2007,France,64.14
